Plate,X,Y
0,-180,55
0,-143,65
0,-92,23
0,-91,-3
0,-97,-25
0,-103,-57
0,-180,-72
1,180,54
1,161,59
1,140,43
1,134,38
1,136,15
1,124,-1
1,152,-16
1,175,-25
1,150,-58
1,180,-70
2,139,39
2,126,35
2,115,26
2,131,-5
2,149,7
2,155,21
3,-180,90
3,-180,44
3,-142,51
3,-104,10
3,-80,9
3,-37,8
3,-19,35
3,-8,69
3,-15,72
3,17,80
3,113,74
3,180,42
3,180,90
4,-11,88
4,-43,57
4,-36,53
4,-5,27
4,33,33
4,62,18
4,86,20
4,90,-11
4,121,-16
4,140,-3
4,128,22.5
4,148,42
4,158,68
4,120,88
4,55,91
5,-36,42
5,-58,18
5,-30,-10
5,-22,-48
5,0,-61
5,31,-60
5,48,-36
5,45,46
6,34,43
6,26,27
6,38,9
6,63,10
6,68,25
7,70,40
7,52,12
7,67,-11
7,103,-1.8
7,104,16
7,100,32
8,38,16
8,25,9
8,22,-8
8,19,-30
8,26,-54
8,78,-26
8,75,4
8,60,18
9,-62,23
9,-84,12
9,-90,-6
9,-80,-24
9,-83,-54
9,-57,-65
9,9,-58
9,-3,2
9,-43,21
10,-104,7
10,-123,-21
10,-116,-40
10,-72,-50
10,-65,-20
10,-73,11
11,-180,-54
11,-180,-90
11,180,-90
11,180,-58
11,142,-43
11,87,-34
11,68,-19
11,22,-44
11,-55,-53
11,-75,-40
11,-115,-26
12,73,-7
12,74,-36
12,157,-58
12,180,-26
12,136,1